	sequences per sample	iteration	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc29	515rcbc14	515rcbc10	515rcbc28	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_2896_9.txt	2896	9	167.25	157.5	155.913043478	158.076923077	153.2	149.111111111	136.352941176	150.5	160.666666667	152.583333333	164.909090909	145.285714286	156.352941176	162.0	157.6	161.5	158.833333333	151.769230769	158.333333333	171.125	162.545454545	156.666666667	155.125	159.75	154.5	143.0	152.666666667
alpha_rarefaction_3377_0.txt	3377	0	151.4	157.714285714	150.583333333	153.5	166.909090909	147.0	146.230769231	154.75	164.25	150.545454545	156.583333333	141.588235294	158.583333333	159.5	153.875	162.625	154.333333333	151.9375	160.0	156.583333333	156.153846154	145.272727273	154.461538462	163.111111111	151.625	142.666666667	159.666666667
alpha_rarefaction_3377_1.txt	3377	1	159.0	156.0	152.5	151.875	157.571428571	159.583333333	145.333333333	153.666666667	154.25	153.461538462	146.909090909	154.214285714	152.833333333	161.6	163.666666667	157.111111111	150.714285714	155.571428571	163.076923077	154.583333333	150.363636364	150.1	149.5	155.461538462	159.5	162.083333333	160.125
alpha_rarefaction_3377_2.txt	3377	2	154.75	151.071428571	159.5	156.090909091	152.045454545	151.75	140.375	170.166666667	160.875	172.125	157.8	159.5	157.0	156.666666667	158.625	158.769230769	156.176470588	162.75	158.0	158.0	157.857142857	159.25	152.8	162.857142857	149.545454545	142.0	172.545454545
alpha_rarefaction_3377_3.txt	3377	3	151.714285714	160.076923077	170.666666667	153.214285714	158.571428571	154.0	132.625	157.6	156.625	150.090909091	163.666666667	150.5625	166.0	159.0	163.1	157.111111111	163.6	153.5	156.833333333	157.857142857	156.647058824	163.272727273	151.909090909	159.583333333	151.5	148.0	163.583333333
alpha_rarefaction_3377_4.txt	3377	4	156.5625	152.882352941	150.583333333	160.6	154.588235294	153.875	135.4375	158.461538462	154.714285714	151.928571429	153.866666667	153.052631579	164.5	156.25	153.0	157.75	152.875	158.8	155.8	155.769230769	156.1	156.090909091	156.0	159.0	150.625	143.153846154	158.928571429
alpha_rarefaction_3377_5.txt	3377	5	180.2	156.583333333	152.5	156.214285714	156.230769231	158.857142857	143.333333333	156.111111111	160.0	150.571428571	153.214285714	150.058823529	153.615384615	156.769230769	161.5	160.090909091	154.076923077	155.625	154.272727273	154.0	161.333333333	154.5	152.461538462	157.0	151.583333333	152.0	157.214285714
alpha_rarefaction_3377_6.txt	3377	6	164.0	154.111111111	146.117647059	156.571428571	152.75	153.117647059	165.2	151.875	158.111111111	159.0	160.545454545	157.3	154.769230769	155.375	156.333333333	156.625	152.2	156.928571429	152.142857143	147.909090909	160.4	156.0	156.214285714	154.4	150.769230769	140.928571429	161.272727273
alpha_rarefaction_3377_7.txt	3377	7	147.117647059	158.230769231	147.666666667	156.461538462	160.583333333	147.545454545	135.75	164.75	158.857142857	155.0	154.368421053	153.875	156.4375	157.5	156.111111111	161.111111111	156.352941176	161.375	159.75	150.75	156.0	147.909090909	161.111111111	156.647058824	157.666666667	146.0	162.714285714
alpha_rarefaction_3377_8.txt	3377	8	148.583333333	154.0	145.5	152.461538462	156.928571429	154.272727273	144.0	156.5	158.272727273	159.583333333	155.461538462	148.0	158.583333333	155.909090909	166.142857143	153.769230769	150.25	155.461538462	159.4	159.0	159.75	163.375	155.5	158.333333333	153.9	150.333333333	159.0
alpha_rarefaction_3377_9.txt	3377	9	151.75	152.333333333	154.333333333	155.6	173.1	150.25	137.230769231	158.214285714	151.833333333	170.0	151.833333333	150.5	155.214285714	156.0	155.625	161.625	154.055555556	157.090909091	160.1	152.75	156.0	150.714285714	153.5	156.588235294	157.066666667	146.875	160.875
alpha_rarefaction_3858_0.txt	3858	0	155.0	151.111111111	148.272727273	157.272727273	157.8125	158.0	144.0	156.666666667	159.111111111	153.0	157.5	144.928571429	159.230769231	159.0	159.0	160.428571429	155.666666667	154.5	155.6	160.857142857	156.0	152.666666667	150.545454545	152.909090909	158.6	162.090909091	164.0
alpha_rarefaction_3858_1.txt	3858	1	158.5	158.0	141.375	155.111111111	157.647058824	151.625	144.166666667	155.666666667	162.625	163.25	155.230769231	154.5625	171.5	157.857142857	153.666666667	161.5	157.0	165.0	155.666666667	161.111111111	153.5	153.5	158.5	154.333333333	160.142857143	149.058823529	157.05
